name,url
Tenerife Hotels,https://www.booking.com/region/es/tenerife-island.html
Ibiza Hotels,https://www.booking.com/region/es/ibiza.html
Majorca Hotels,https://www.booking.com/region/es/mallorca.html
Lake Garda Hotels,https://www.booking.com/region/it/lake-garda.html
Bali Hotels,https://www.booking.com/region/id/bali.html
Phuket Province Hotels,https://www.booking.com/region/th/phuket.html
Santorini Hotels,https://www.booking.com/region/gr/santorini.html
Langkawi Hotels,https://www.booking.com/region/my/langkawi.html
Lake District Hotels,https://www.booking.com/region/gb/lake-district.html
Algarve Hotels,https://www.booking.com/region/pt/algarve.html
Cinque Terre Hotels,https://www.booking.com/region/it/lecinqueterre.html
Sardinia Hotels,https://www.booking.com/region/it/sardegna.html
Gran Canaria Hotels,https://www.booking.com/region/es/gran-canaria.html
Maldives Hotels,https://www.booking.com/region/mv/maldives.html
Niagara Falls Hotels,https://www.booking.com/region/ca/niagarafalls.html
Serra da Estrela Hotels,https://www.booking.com/region/pt/serradaestrela.html
Lake Como Hotels,https://www.booking.com/region/it/lake-como.html
Crete Hotels,https://www.booking.com/region/gr/crete.html
Lanzarote Hotels,https://www.booking.com/region/es/lanzarote.html
Koh Samui Hotels,https://www.booking.com/region/th/koh-samui.html
Formentera Hotels,https://www.booking.com/region/es/formentera.html
Dead Sea Hotels,https://www.booking.com/region/il/dead-sea.html
Corsica Hotels,https://www.booking.com/region/fr/corse.html
Fuerteventura Hotels,https://www.booking.com/region/es/fuerteventura.html
Sicily Hotels,https://www.booking.com/region/it/sicilia.html
Corfu Hotels,https://www.booking.com/region/gr/corfu.html
Costa Brava Hotels,https://www.booking.com/region/es/costa-brava.html
Madeira Islands Hotels,https://www.booking.com/region/pt/madeira.html
Menorca Hotels,https://www.booking.com/region/es/menorca.html
Penang Hotels,https://www.booking.com/region/my/penang.html
Tuscany Hotels,https://www.booking.com/region/it/tuscany.html
Rhodes Hotels,https://www.booking.com/region/gr/rhodes.html
Texel Hotels,https://www.booking.com/region/nl/texel.html
Mykonos Hotels,https://www.booking.com/region/gr/mykonos.html
Krabi Province Hotels,https://www.booking.com/region/th/krabi.html
Usedom Hotels,https://www.booking.com/region/de/usedom.html
Amalfi Coast Hotels,https://www.booking.com/region/it/amalficoast.html
Lake Constance Hotels,https://www.booking.com/region/at/bodensee.html
Cameron Highlands Hotels,https://www.booking.com/region/my/cameron-highlands.html
Sunny Beach Region Hotels,https://www.booking.com/region/bg/sunny-beach-bulgaria.html
Halkidiki Hotels,https://www.booking.com/region/gr/halkidiki.html
Elba Hotels,https://www.booking.com/region/it/elba.html
Sylt Hotels,https://www.booking.com/region/de/sylt.html
Lago Maggiore - Italy Hotels,https://www.booking.com/region/it/lake-maggiore.html
Black Forest Hotels,https://www.booking.com/region/de/black-forest.html
Zakynthos Hotels,https://www.booking.com/region/gr/zakynthos.html
Jersey Hotels,https://www.booking.com/region/gb/jersey.html
Hawaii Hotels,https://www.booking.com/region/us/hawaii.html
Koh Chang Hotels,https://www.booking.com/region/th/ko-chang.html
Lake Balaton Hotels,https://www.booking.com/region/hu/balaton-region.html
Thasos Hotels,https://www.booking.com/region/gr/thassos.html
Rügen Hotels,https://www.booking.com/region/de/rugen.html
Normandy Hotels,https://www.booking.com/region/fr/normandie.html
Kos Hotels,https://www.booking.com/region/gr/kos.html
Island of Ré Hotels,https://www.booking.com/region/fr/ile-de-re.html
Canary Islands Hotels,https://www.booking.com/region/es/canary-islands.html
Florida Hotels,https://www.booking.com/region/us/florida.html
Costa del Sol Hotels,https://www.booking.com/region/es/costa-del-sol.html
Vlieland Hotels,https://www.booking.com/region/nl/vlieland.html
French Riviera Hotels,https://www.booking.com/region/fr/riviera.html
Djerba Hotels,https://www.booking.com/region/tn/djerba.html
Capri Island Hotels,https://www.booking.com/region/it/capri.html
Paros Hotels,https://www.booking.com/region/gr/paros.html
Cappadocia Hotels,https://www.booking.com/region/tr/cappadocia.html
Grand Canyon Hotels,https://www.booking.com/region/us/grand-canyon.html
Makkah Al Mukarramah Province Hotels,https://www.booking.com/region/sa/makkah.html
German Mosel Hotels,https://www.booking.com/region/de/mosel.html
Loire Valley Hotels,https://www.booking.com/region/fr/chateauxdelaloire.html
Yosemite National Park Hotels,https://www.booking.com/region/us/yosemite-national-park.html
Malta Hotels,https://www.booking.com/region/mt/malta.html
Ameland Hotels,https://www.booking.com/region/nl/ameland.html
Al Madinah Al Munnawarah Province Hotels,https://www.booking.com/region/sa/al-madinah.html
New Forest Hotels,https://www.booking.com/region/gb/new-forest.html
Plitvice Lakes National Park Hotels,https://www.booking.com/region/hr/plitvice-lakes.html
Tobago Hotels,https://www.booking.com/region/tt/tobago.html
Cotswolds Hotels,https://www.booking.com/region/gb/cotswold.html
Galapagos Hotels,https://www.booking.com/region/ec/galapagos.html
Scotland Hotels,https://www.booking.com/region/gb/scotland.html
Isle of Wight Hotels,https://www.booking.com/region/gb/isle-of-wight-county.html
Veracruz Hotels,https://www.booking.com/region/mx/veracruz.html
Naxos Hotels,https://www.booking.com/region/gr/naxos.html
Goa Hotels,https://www.booking.com/region/in/goa.html
Chanthaburi Province Hotels,https://www.booking.com/region/th/chanthaburi.html
Lefkada Hotels,https://www.booking.com/region/gr/lefkada.html
Chiemsee Hotels,https://www.booking.com/region/de/chiemsee.html
Zeeland Hotels,https://www.booking.com/region/nl/zeeland.html
Alsace Hotels,https://www.booking.com/region/fr/alsace.html
England Hotels,https://www.booking.com/region/gb/england.html
New Jersey Hotels,https://www.booking.com/region/us/newjersey.html
Sochi Region Hotels,https://www.booking.com/region/ru/great-sochi.html
Val Gardena Hotels,https://www.booking.com/region/it/val-gardena.html
Monte Cervino Ski Area Hotels,https://www.booking.com/region/it/cervinia.html
Valle del Jerte Hotels,https://www.booking.com/region/es/valle-del-jerte.html
Cornwall Hotels,https://www.booking.com/region/gb/cornwall-county.html
Pelion Hotels,https://www.booking.com/region/gr/pilion.html
Batam Hotels,https://www.booking.com/region/id/batam.html
Tunis Governorate   Hotels,https://www.booking.com/region/tn/tunis.html
Ica Hotels,https://www.booking.com/region/pe/ica.html
Entre Ríos Hotels,https://www.booking.com/region/ar/entre-rios.html
Koh Kood Hotels,https://www.booking.com/region/th/ko-kut.html
Madonna di Campiglio Hotels,https://www.booking.com/region/it/madonna-di-campiglio.html
Mendoza Province Hotels,https://www.booking.com/region/ar/mendoza.html
Greek Islands Hotels,https://www.booking.com/region/gr/greekislands.html
Marsa Alam Hotels,https://www.booking.com/region/eg/marsa-alam-region.html
Spreewald Hotels,https://www.booking.com/region/de/spreewald.html
Tahiti Hotels,https://www.booking.com/region/pf/tahiti.html
Apulia Hotels,https://www.booking.com/region/it/puglia.html
South Tyrol Hotels,https://www.booking.com/region/it/sued-tirol.html
Fischland-Darß-Zingst Hotels,https://www.booking.com/region/de/fischlanddarss.html
California Hotels,https://www.booking.com/region/us/california.html
Sanibel Island  Hotels,https://www.booking.com/region/us/sanibel-island.html
Isle of Man Hotels,https://www.booking.com/region/gb/isle-of-man.html
Antigua Hotels,https://www.booking.com/region/ag/antigua.html
Rayong Province Hotels,https://www.booking.com/region/th/rayong.html
Baltic Sea Hotels,https://www.booking.com/region/pl/balticscoast.html
Andalucía Hotels,https://www.booking.com/region/es/andalusia.html
Liguria Hotels,https://www.booking.com/region/it/liguria.html
Phillip Island Hotels,https://www.booking.com/region/au/phillip-island.html
Bursa Hotels,https://www.booking.com/region/tr/bursa.html
Melaka Hotels,https://www.booking.com/region/my/melaka.html
Terschelling Hotels,https://www.booking.com/region/nl/terschelling.html
Panama Hotels,https://www.booking.com/region/pa/panama.html
Provence Hotels,https://www.booking.com/region/fr/provence.html
Asturias Hotels,https://www.booking.com/region/es/asturias.html
Salta Province Hotels,https://www.booking.com/region/ar/salta.html
Maui Hotels,https://www.booking.com/region/us/maui-hawaii.html
Toledo Province Hotels,https://www.booking.com/region/es/toledo.html
Costa Dorada Hotels,https://www.booking.com/region/es/costa-dorada.html
Loch Lomond Hotels,https://www.booking.com/region/gb/loch-lomond-lake.html
Costa Adeje Hotels,https://www.booking.com/region/es/costa-adeje.html
Santa Fe Province Hotels,https://www.booking.com/region/ar/santa-fe.html
Zillertal Hotels,https://www.booking.com/region/at/zillertalregion.html
Vosges Hotels,https://www.booking.com/region/fr/les-vosges.html
Cajon del Maipo Hotels,https://www.booking.com/region/cl/cajon-del-maipo.html
Margarita Island Hotels,https://www.booking.com/region/ve/isla-margarita.html
Dutch Coast Hotels,https://www.booking.com/region/nl/dutch-coast.html
Kefalonia Hotels,https://www.booking.com/region/gr/kefalonia.html
Azores Hotels,https://www.booking.com/region/pt/azores.html
Palawan Hotels,https://www.booking.com/region/ph/palawan.html
Florida Keys Hotels,https://www.booking.com/region/us/floridakeys.html
Tyrol Hotels,https://www.booking.com/region/at/tirol.html
Zanzibar Hotels,https://www.booking.com/region/tz/zanzibar.html
Lombok Hotels,https://www.booking.com/region/id/lombok.html
Guernsey Hotels,https://www.booking.com/region/gb/guernsey.html
